Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695944992.37706,850,85793,0,GPS1_Frame,42.338245,-71.08557,17.9,328192.18817350356,4689438.771919594,19,T
1695944993.375979,851,85794,0,GPS1_Frame,42.338245,-71.08557,17.9,328192.18817350356,4689438.771919594,19,T
1695944994.3782551,852,85795,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695944995.3774896,853,85796,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695944996.3762982,854,85797,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695944997.3761783,855,85798,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695944998.3804877,856,85799,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695944999.4182606,857,85800,0,GPS1_Frame,42.338245,-71.08557,17.8,328192.18817350356,4689438.771919594,19,T
1695945000.380282,858,85801,0,GPS1_Frame,42.33824666666667,-71.08557,17.8,328192.1927126498,4689438.95699022,19,T
1695945001.378834,859,85802,0,GPS1_Frame,42.33824666666667,-71.08557,17.8,328192.1927126498,4689438.95699022,19,T
1695945002.379666,860,85803,0,GPS1_Frame,42.33824666666667,-71.08557,17.8,328192.1927126498,4689438.95699022,19,T
1695945003.3791096,861,85804,0,GPS1_Frame,42.33824666666667,-71.08557,17.8,328192.1927126498,4689438.95699022,19,T
1695945004.3784192,862,85805,0,GPS1_Frame,42.33824666666667,-71.08557,17.8,328192.1927126498,4689438.95699022,19,T
1695945005.3783658,863,85806,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.8,328192.33001721825,4689438.953622611,19,T
1695945006.4178798,864,85807,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.8,328192.33001721825,4689438.953622611,19,T
1695945007.4182665,865,85808,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.7,328192.33001721825,4689438.953622611,19,T
1695945008.3790338,866,85809,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.7,328192.33001721825,4689438.953622611,19,T
1695945009.3793724,867,85810,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.7,328192.33001721825,4689438.953622611,19,T
1695945010.3799222,868,85811,0,GPS1_Frame,42.33824666666667,-71.08556833333333,17.7,328192.33001721825,4689438.953622611,19,T
1695945011.3793905,869,85812,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945012.3801198,870,85813,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945013.3787634,871,85814,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945014.379806,872,85815,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945015.3798428,873,85816,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
